Job title,Job location,Department,Offered salary,Description of the company,Job description,Requirements/qualifications,Offered benefits,"Full-time, part-time, etc.",Experience required,Sector,Job function,fraudulent
Real Job Title 556,"New York, NY",HR,$3000/month,This is a reputable company profile for job 556.,This is a genuine job description for position 556.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1492,"New York, NY",HR,$5000/month,This is a fake company profile for job 1492.,This is a suspicious job description for position 1492.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 528,"New York, NY",HR,$3000/month,This is a reputable company profile for job 528.,This is a genuine job description for position 528.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1926,"New York, NY",HR,$5000/month,This is a fake company profile for job 1926.,This is a suspicious job description for position 1926.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 990,"New York, NY",HR,$5000/month,This is a fake company profile for job 990.,This is a suspicious job description for position 990.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 71,Remote,Operations,$3000/month,This is a reputable company profile for job 71.,This is a genuine job description for position 71.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1757,Remote,Operations,$3000/month,This is a reputable company profile for job 1757.,This is a genuine job description for position 1757.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 212,"New York, NY",HR,$3000/month,This is a reputable company profile for job 212.,This is a genuine job description for position 212.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 197,Remote,Operations,$3000/month,This is a reputable company profile for job 197.,This is a genuine job description for position 197.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 804,"New York, NY",HR,$3000/month,This is a reputable company profile for job 804.,This is a genuine job description for position 804.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1410,"New York, NY",HR,$5000/month,This is a fake company profile for job 1410.,This is a suspicious job description for position 1410.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1837,Remote,Operations,$5000/month,This is a fake company profile for job 1837.,This is a suspicious job description for position 1837.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1147,Remote,Operations,$3000/month,This is a reputable company profile for job 1147.,This is a genuine job description for position 1147.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1499,Remote,Operations,$3000/month,This is a reputable company profile for job 1499.,This is a genuine job description for position 1499.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
